youtube_id,time_start,time_end,vatex_vid
5-xGskbsBgI,55,65,5-xGskbsBgI_000055_000065
uaoC__dKucA,518,528,uaoC__dKucA_000518_000528
mCqb6dJBDC8,80,90,mCqb6dJBDC8_000080_000090
m2_qmRnjICE,17,27,m2_qmRnjICE_000017_000027
hIj7fi9QgmA,9,19,hIj7fi9QgmA_000009_000019
nJ6KPT1uwe8,47,57,nJ6KPT1uwe8_000047_000057
rseoEvLeT4A,39,49,rseoEvLeT4A_000039_000049
w-YJn8Je4GY,62,72,w-YJn8Je4GY_000062_000072
JSd8C0Ms-G0,50,60,JSd8C0Ms-G0_000050_000060
acWe5XOfYvs,124,134,acWe5XOfYvs_000124_000134
fgzGX-pPYiM,4,14,fgzGX-pPYiM_000004_000014
7uLqECdWBKE,0,10,7uLqECdWBKE_000000_000010
OlD3KDfKO5o,110,120,OlD3KDfKO5o_000110_000120
L0-klmDvEos,1296,1306,L0-klmDvEos_001296_001306
ZoWgCBQc6wE,2,12,ZoWgCBQc6wE_000002_000012
DasRdyFA0bU,0,10,DasRdyFA0bU_000000_000010
J4YjMOdSx9g,8,18,J4YjMOdSx9g_000008_000018
q83q9Z1DtQ0,237,247,q83q9Z1DtQ0_000237_000247
7at4UFVmTCc,20,30,7at4UFVmTCc_000020_000030
3EPYGSINacM,0,10,3EPYGSINacM_000000_000010
7VUQg_VVUgQ,4,14,7VUQg_VVUgQ_000004_000014
CNzzBs0XghA,36,46,CNzzBs0XghA_000036_000046
IDr9NHPNlW8,101,111,IDr9NHPNlW8_000101_000111
_yUsbWXjPXU,113,123,_yUsbWXjPXU_000113_000123
M41kZ-3XS2c,3,13,M41kZ-3XS2c_000003_000013
FtBS6OZSGMI,28,38,FtBS6OZSGMI_000028_000038
QNhd8xD7OMg,195,205,QNhd8xD7OMg_000195_000205
3ufJNSez5Is,8,18,3ufJNSez5Is_000008_000018
EvGkyGUuZnU,26,36,EvGkyGUuZnU_000026_000036
BfFOlJQbfYE,7,17,BfFOlJQbfYE_000007_000017
tb_BsrjIb4A,532,542,tb_BsrjIb4A_000532_000542
0HEi6q3bGaw,11,21,0HEi6q3bGaw_000011_000021
vHO1Dbq6beI,135,145,vHO1Dbq6beI_000135_000145
j4-YU0XzZ4A,0,10,j4-YU0XzZ4A_000000_000010
kiva9a4UuFc,20,30,kiva9a4UuFc_000020_000030
Me_M17VnQCE,42,52,Me_M17VnQCE_000042_000052
WfWArGWpRiI,359,369,WfWArGWpRiI_000359_000369
